instance_id	cutoff_epoch	historical_path_rows	time_ineligible_path_rows	historical_artifacts	time_ineligible_artifacts	top20_equal_after_strict_filter	top50_equal_after_strict_filter	packed_entities_4000	packed_4000_equal_after_strict_filter	current_top20_sha256	strict_top20_sha256
astropy__astropy-7606	1530289666.0	0	0			1	1	26	1	32bd7652ac350eddc70434062d82eece121a94380bd2c72a06449db69f51dbaf	32bd7652ac350eddc70434062d82eece121a94380bd2c72a06449db69f51dbaf
astropy__astropy-7671	1532115469.0	0	0			1	1	18	1	37f72f5bb28b1c7c418204ef09de6d1a9a9339ca42a3836fb61383134ab4d4fe	37f72f5bb28b1c7c418204ef09de6d1a9a9339ca42a3836fb61383134ab4d4fe
astropy__astropy-8707	1557926479.0	0	0			1	1	14	1	696a07beb1d56d2dbaa27c44113f97276c14e4b5a325335bce503bf1437add89	696a07beb1d56d2dbaa27c44113f97276c14e4b5a325335bce503bf1437add89
astropy__astropy-8872	1560976496.0	0	0			1	1	23	1	a6c7bcb30f10481491beeafc280feeed7d6b6864fdfca6d514be481afb02c107	a6c7bcb30f10481491beeafc280feeed7d6b6864fdfca6d514be481afb02c107
django__django-10097	1530055851.0	0	0			1	1	25	1	c0ccdc5c88b046517de481f55512baee90b583195a2825f8f493606fdfe661c6	c0ccdc5c88b046517de481f55512baee90b583195a2825f8f493606fdfe661c6
django__django-10554	1540391085.0	0	0			1	1	18	1	c0c012f3edec6285360466f8f30544a8f6648b3e7796ba49578d66f0e4011e59	c0c012f3edec6285360466f8f30544a8f6648b3e7796ba49578d66f0e4011e59
django__django-10880	1548030156.0	0	0			1	1	16	1	1049f1fb335f54e7924b5b3c45b7c977cb0e18658e2fc937d219047a1b89a564	1049f1fb335f54e7924b5b3c45b7c977cb0e18658e2fc937d219047a1b89a564
django__django-10914	1548854000.0	0	0			1	1	32	1	7e0f8506c261bfa35bc7689137f1b1e5b23c09cd69b63dd4edc4d0665f9297f1	7e0f8506c261bfa35bc7689137f1b1e5b23c09cd69b63dd4edc4d0665f9297f1
django__django-10973	1549847996.0	0	0			1	1	22	1	0d585afdc7b4c42906c37a9609e7ac391c99b3a3651f99d54ba2c5000dba2ba0	0d585afdc7b4c42906c37a9609e7ac391c99b3a3651f99d54ba2c5000dba2ba0
django__django-10999	1550303090.0	0	0			1	1	18	1	f3d5d26cbf896e02d17d7b1a5b811077ec2bcdcb6785a4d80ea5f33abbab928d	f3d5d26cbf896e02d17d7b1a5b811077ec2bcdcb6785a4d80ea5f33abbab928d
django__django-11066	1552136594.0	0	0			1	1	19	1	2cd0d3ee496281bab5695d58c4cde1572501b8494c22f962606a64818259e670	2cd0d3ee496281bab5695d58c4cde1572501b8494c22f962606a64818259e670
django__django-11087	1552777197.0	0	0			1	1	18	1	d4f7ebf269cd92c6b75d3e1505af1ac307b7a5eb1f7f2c1b861f2389ef6c75e3	d4f7ebf269cd92c6b75d3e1505af1ac307b7a5eb1f7f2c1b861f2389ef6c75e3
django__django-11095	1553008648.0	0	0			1	1	21	1	65f854fcb5fcadb3a616e6de24803d0c125124041467ae44e73b5cde31ff1b3b	65f854fcb5fcadb3a616e6de24803d0c125124041467ae44e73b5cde31ff1b3b
django__django-11099	1553053578.0	0	0			1	1	26	1	1f1c1fedeaa5dfbdf0e1ded980eb4751f4eee4e2db632e553b9d4939cd219d5e	1f1c1fedeaa5dfbdf0e1ded980eb4751f4eee4e2db632e553b9d4939cd219d5e
django__django-11119	1553462225.0	0	0			1	1	23	1	3d62482e261a1e834c2e1ba19408ecad2bbe7395493cd4d9459bcbed4ecd2df3	3d62482e261a1e834c2e1ba19408ecad2bbe7395493cd4d9459bcbed4ecd2df3
django__django-11133	1553669289.0	0	0			1	1	33	1	37cb16a8fc941a9beb6baaf909dfc23b4333f4ca9da7ee7683d378bb789a65ba	37cb16a8fc941a9beb6baaf909dfc23b4333f4ca9da7ee7683d378bb789a65ba
django__django-11138	1553778716.0	0	0			1	1	18	1	4f3bdd90d8b9dfd3175a55884cb52e73f110d18eabbd04b6ef19f9e1c80a2207	4f3bdd90d8b9dfd3175a55884cb52e73f110d18eabbd04b6ef19f9e1c80a2207
django__django-11141	1553806193.0	0	0			1	1	19	1	8777fda71971d528fab3723f58c89275889f5dcc22ce3aed6c8b9f75faa7b47d	8777fda71971d528fab3723f58c89275889f5dcc22ce3aed6c8b9f75faa7b47d
django__django-11149	1553969675.0	0	0			1	1	19	1	f5d704dc7179410e82d9a6d645aa81a09d0ac1bb88afe7866b35a13ea2789383	f5d704dc7179410e82d9a6d645aa81a09d0ac1bb88afe7866b35a13ea2789383
django__django-11163	1554241602.0	0	0			1	1	17	1	7506398af2bcc5052c2dae530edf83bc53872b139bc2fa0b83be63deb2c5cb69	7506398af2bcc5052c2dae530edf83bc53872b139bc2fa0b83be63deb2c5cb69
django__django-11179	1554479679.0	0	0			1	1	15	1	1058cd0c20a03ec780ebc2defc366ba137a0d4436cffefa11c485122f34576aa	1058cd0c20a03ec780ebc2defc366ba137a0d4436cffefa11c485122f34576aa
django__django-11206	1555150778.0	0	0			1	1	17	1	f1a202ae58829377d8caa97ff15a9c8fb5d1b4e4eb3f06283d3717b588132f6f	f1a202ae58829377d8caa97ff15a9c8fb5d1b4e4eb3f06283d3717b588132f6f
django__django-11211	1555156874.0	0	0			1	1	17	1	de6faa6fb6901d96cd386afc9fceb63a9b1ab9e477be4b536942449fd8fc7638	de6faa6fb6901d96cd386afc9fceb63a9b1ab9e477be4b536942449fd8fc7638
django__django-11239	1555407894.0	0	0			1	1	28	1	bc49db4f957bde977f8faaaeb3d0633a597f566b884fec205ed33b4653426a43	bc49db4f957bde977f8faaaeb3d0633a597f566b884fec205ed33b4653426a43
django__django-11265	1555851448.0	0	0			1	1	18	1	2e967a714904869172344ec68d1faac9c6e2b9f7b75206885c53bbbb8e017057	2e967a714904869172344ec68d1faac9c6e2b9f7b75206885c53bbbb8e017057
django__django-11276	1556109305.0	0	0			1	1	29	1	de02ff42a7f41183cae32bc97a19b1fa44471b9b4bca16bce457458cdbc6c59a	de02ff42a7f41183cae32bc97a19b1fa44471b9b4bca16bce457458cdbc6c59a
django__django-11292	1556374987.0	0	0			1	1	28	1	b8f2774fa890f9189d8983f7dc985951fd83ca7292c7ef292fc3011f542a0a00	b8f2774fa890f9189d8983f7dc985951fd83ca7292c7ef292fc3011f542a0a00
django__django-11299	1556450108.0	0	0			1	1	34	1	82000f99a31e2d065e563cf488228fb8b9ce70e3ae40eae278fe7871bc76361b	82000f99a31e2d065e563cf488228fb8b9ce70e3ae40eae278fe7871bc76361b
django__django-11333	1557176453.0	0	0			1	1	21	1	6a2c80d7bbde453a284d0efdcc4e3b16fb71cbe1001ae476a2984a61f5c4a1cb	6a2c80d7bbde453a284d0efdcc4e3b16fb71cbe1001ae476a2984a61f5c4a1cb
django__django-11400	1558524639.0	0	0			1	1	25	1	5b67f6cb6a5afd9930ca57d7e716ffc6786ea98ba243caa2c2a4ae179eef3f8e	5b67f6cb6a5afd9930ca57d7e716ffc6786ea98ba243caa2c2a4ae179eef3f8e
django__django-11433	1559322380.0	0	0			1	1	25	1	9c271da12b4ba66b2d9d03d2f328a16f99e15b5339ecf2110909d9a9ad33ad75	9c271da12b4ba66b2d9d03d2f328a16f99e15b5339ecf2110909d9a9ad33ad75
django__django-11451	1560021102.0	0	0			1	1	25	1	48b233b32bf2c5156418ab569187bb75c6ba0e1b62390e75a1698df9e075a09d	48b233b32bf2c5156418ab569187bb75c6ba0e1b62390e75a1698df9e075a09d
django__django-11477	1560534045.0	0	0			1	1	22	1	7a9c93dfff5136d3346a7cda36b3becb31605a0e0c74e986323d8f75a0349548	7a9c93dfff5136d3346a7cda36b3becb31605a0e0c74e986323d8f75a0349548
django__django-11490	1560930466.0	0	0			1	1	20	1	d5ecba84b162956f18e0885487975c64a3d1d511be957d47252ad593596de226	d5ecba84b162956f18e0885487975c64a3d1d511be957d47252ad593596de226
django__django-11532	1562063368.0	0	0			1	1	22	1	edb02601f90ef70ee220ee218d254f2d047b3282c59076e41dc836a254b778bd	edb02601f90ef70ee220ee218d254f2d047b3282c59076e41dc836a254b778bd
django__django-11551	1562711325.0	0	0			1	1	19	1	7c4a57dd377de6dd8fb6a17847d06c74a9740a7b3675b8171e4473e83ec57e56	7c4a57dd377de6dd8fb6a17847d06c74a9740a7b3675b8171e4473e83ec57e56
django__django-11555	1562782027.0	0	0			1	1	32	1	15e01e8fcac61e8311a5abddce9964e7b296996d0848ce7dc90ec847f7dc76b5	15e01e8fcac61e8311a5abddce9964e7b296996d0848ce7dc90ec847f7dc76b5
django__django-11603	1564337663.0	0	0			1	1	40	1	636903fe075fdf4eca62a14d452f9da97736de49af4da9fa6703cb8a4896da00	636903fe075fdf4eca62a14d452f9da97736de49af4da9fa6703cb8a4896da00
django__django-11728	1567099863.0	0	0			1	1	18	1	c2ae93b8d683d744c6ef9ca8b15e0d85c7bc0bf7ee4bd1294ef21968e983f73c	c2ae93b8d683d744c6ef9ca8b15e0d85c7bc0bf7ee4bd1294ef21968e983f73c
django__django-11734	1567363610.0	0	0			1	1	24	1	2a5bac12b739bfeb3e00cfa0d75d8eb508f14a541d4e495c42d959f28303bf16	2a5bac12b739bfeb3e00cfa0d75d8eb508f14a541d4e495c42d959f28303bf16
django__django-11740	1567507478.0	0	0			1	1	14	1	8d8d2c6d972162b2a4909f61efc69e115af40b9264901a92063f273b711430a0	8d8d2c6d972162b2a4909f61efc69e115af40b9264901a92063f273b711430a0
django__django-11749	1567720064.0	0	0			1	1	20	1	bdfc7d9640281bb03841a28584ce951e35143169227c255206d375cdb237e159	bdfc7d9640281bb03841a28584ce951e35143169227c255206d375cdb237e159
django__django-11790	1568730824.0	0	0			1	1	29	1	93697e18aa4a95715cee80f34407fe049b9d7d9fb62c87cdb0cabbe321d0d98e	93697e18aa4a95715cee80f34407fe049b9d7d9fb62c87cdb0cabbe321d0d98e
django__django-11815	1569361536.0	0	0			1	1	19	1	c230addfef117d45a70760460f0279911e028756f36b4fe58d1ecc57e58ba57e	c230addfef117d45a70760460f0279911e028756f36b4fe58d1ecc57e58ba57e
django__django-11820	1569487034.0	0	0			1	1	14	1	7cee6d0bb6044be10eac69b4c02b842a39f302eba8f30b44dc6254d140cc4243	7cee6d0bb6044be10eac69b4c02b842a39f302eba8f30b44dc6254d140cc4243
django__django-11848	1569644902.0	0	0			1	1	22	1	975f2cfd0b0491f36ed81ff0b04b61974e4c6fd3e0ffde8e366089044529d1d6	975f2cfd0b0491f36ed81ff0b04b61974e4c6fd3e0ffde8e366089044529d1d6
django__django-11880	1570475459.0	0	0			1	1	24	1	b2f317b8dce7d1537b3e13fa6293332f7ee66eb926344c752a33d526bc3adb90	b2f317b8dce7d1537b3e13fa6293332f7ee66eb926344c752a33d526bc3adb90
django__django-11885	1570548127.0	0	0			1	1	20	1	7f39d86df8f2b737a55f557d0a51551382a1549e0a07311a5f4f454cdbef7a51	7f39d86df8f2b737a55f557d0a51551382a1549e0a07311a5f4f454cdbef7a51
django__django-11951	1571650546.0	0	0			1	1	19	1	69628bbaba8d9c2a22e53cb651977f51f273e265e60a71270fb5e54f6847eebd	69628bbaba8d9c2a22e53cb651977f51f273e265e60a71270fb5e54f6847eebd
django__django-11964	1571840205.0	0	0			1	1	18	1	875adb4b1102284b01a2d48cdcca3d73aca933556f3fa850c5a1961840efbc70	875adb4b1102284b01a2d48cdcca3d73aca933556f3fa850c5a1961840efbc70
django__django-11999	1572518358.0	0	0			1	1	30	1	00d4425b0cbdffd0a6fd94ca4f966f14d1beffb2ffed07d930fca26d90c6ea50	00d4425b0cbdffd0a6fd94ca4f966f14d1beffb2ffed07d930fca26d90c6ea50
django__django-12039	1573074874.0	0	0			1	1	22	1	1b96a6f114a23e9f20a297253d3cd5d71b7e44a81f8ee25301923fc530401eb9	1b96a6f114a23e9f20a297253d3cd5d71b7e44a81f8ee25301923fc530401eb9
django__django-12050	1573376025.0	0	0			1	1	16	1	5f3e1e81b3c9e78b018f42765a5ff487e16842722aec6ddbf404d2305bcb9bce	5f3e1e81b3c9e78b018f42765a5ff487e16842722aec6ddbf404d2305bcb9bce
django__django-12125	1574427345.0	0	0			1	1	21	1	bed766e98fe6829624c28f967a2fb2f7503b3ea05dc9d1a074701168bda909eb	bed766e98fe6829624c28f967a2fb2f7503b3ea05dc9d1a074701168bda909eb
django__django-12143	1574692710.0	0	0			1	1	19	1	3c77575cd3533e6f1476a51d9a8820c5f063fae5311c01e0a4569e2ca8734b5c	3c77575cd3533e6f1476a51d9a8820c5f063fae5311c01e0a4569e2ca8734b5c
django__django-12155	1574958263.0	0	0			1	1	19	1	4b6f1a69a1d15eb5f4451e41ffeb7b0a592dee6031f0820d9b4c60640b8fc31a	4b6f1a69a1d15eb5f4451e41ffeb7b0a592dee6031f0820d9b4c60640b8fc31a
django__django-12193	1575769105.0	0	0			1	1	24	1	fc2f760b2708aa9946ece973ddc4a3a32d54c1aef5db94bb4cda3f0bb4e6b475	fc2f760b2708aa9946ece973ddc4a3a32d54c1aef5db94bb4cda3f0bb4e6b475
django__django-12209	1576123865.0	0	0			1	1	19	1	046132fce7b4b07fc3f5165f86abaf12149220e880d21faa488bbab69bbee716	046132fce7b4b07fc3f5165f86abaf12149220e880d21faa488bbab69bbee716
django__django-12262	1577711639.0	0	0			1	1	16	1	440c2715d61c12fff4eb9b1e60bd52a9cbe72d119bf1db6f31435a85f59aa08b	440c2715d61c12fff4eb9b1e60bd52a9cbe72d119bf1db6f31435a85f59aa08b
django__django-12273	1578077276.0	0	0			1	1	24	1	9a5d35119f1fa0c342efacd08fb66b4d0f3e5017336bdc870a9ca6fddd560ed8	9a5d35119f1fa0c342efacd08fb66b4d0f3e5017336bdc870a9ca6fddd560ed8
django__django-12276	1578211480.0	0	0			1	1	27	1	a06654257ffbf4d7be7960e05cac9a57bc38e1d8ba741a19f53f6e5b4bfa5274	a06654257ffbf4d7be7960e05cac9a57bc38e1d8ba741a19f53f6e5b4bfa5274
