instance_id	source	token_budget	candidate_entities	selected_entities	rendered_context_tokens	budget_fill	mean_selected_source_tokens	truncated_entities	changed_lines_covered	changed_lines_total	complete_changed_lines
django__django-14500	MURAL	4000	50	19	3868	0.967	227.1578947368421	5	5	5	1
django__django-14534	MURAL	4000	50	29	3900	0.975	76.82758620689656	2	1	2	0
django__django-14539	MURAL	4000	50	24	3961	0.99025	157.95833333333334	4	0	3	0
django__django-14559	MURAL	4000	50	17	3773	0.94325	209.7058823529412	4	4	5	0
django__django-14580	MURAL	4000	50	11	3971	0.99275	177.63636363636363	2	0	2	0
django__django-14608	MURAL	4000	50	20	3890	0.9725	221.65	7	3	4	0
django__django-14631	MURAL	4000	50	22	3949	0.98725	136.54545454545453	3	32	43	0
django__django-14672	MURAL	4000	50	23	3880	0.97	325.5652173913044	5	2	2	1
django__django-14725	MURAL	4000	50	33	3913	0.97825	59.18181818181818	1	0	8	0
django__django-14752	MURAL	4000	50	23	3864	0.966	195.8695652173913	4	5	5	1
django__django-14765	MURAL	4000	50	19	3748	0.937	186.3684210526316	5	5	5	1
django__django-14771	MURAL	4000	50	28	3923	0.98075	81.96428571428571	2	0	1	0
django__django-14787	MURAL	4000	50	33	3975	0.99375	88.15151515151516	6	0	2	0
django__django-14792	MURAL	4000	50	29	3983	0.99575	79.82758620689656	2	0	3	0
django__django-14855	MURAL	4000	50	22	3829	0.95725	144.5909090909091	4	2	2	1
django__django-14915	MURAL	4000	50	25	3767	0.94175	81.48	1	1	1	1
django__django-14999	MURAL	4000	50	27	3890	0.9725	122.18518518518519	2	7	7	1
django__django-15022	MURAL	4000	50	14	3843	0.96075	435.92857142857144	6	0	3	0
django__django-15037	MURAL	4000	50	32	3925	0.98125	62.40625	1	0	5	0
django__django-15098	MURAL	4000	50	16	3988	0.997	174.5625	2	0	2	0
django__django-15103	MURAL	4000	50	23	3804	0.951	186.47826086956522	6	10	11	0
django__django-15104	MURAL	4000	50	15	3903	0.97575	400.6	8	2	2	1
django__django-15127	MURAL	4000	50	28	3962	0.9905	93.46428571428571	2	0	3	0
django__django-15128	MURAL	4000	50	15	3846	0.9615	371.0	7	10	16	0
django__django-15161	MURAL	4000	50	22	3955	0.98875	163.54545454545453	4	0	6	0
django__django-15252	MURAL	4000	50	25	3848	0.962	133.04	3	3	3	1
django__django-15268	MURAL	4000	50	28	3902	0.9755	74.39285714285714	1	0	4	0
django__django-15277	MURAL	4000	50	23	3711	0.92775	88.26086956521739	0	0	2	0
django__django-15278	MURAL	4000	50	25	3975	0.99375	70.84	2	5	5	1
django__django-15280	MURAL	4000	50	20	3865	0.96625	185.75	6	0	3	0
django__django-15315	MURAL	4000	50	29	3921	0.98025	91.82758620689656	3	5	6	0
django__django-15368	MURAL	4000	50	18	3962	0.9905	205.77777777777777	3	2	4	0
django__django-15375	MURAL	4000	50	19	3969	0.99225	204.89473684210526	6	0	2	0
django__django-15380	MURAL	4000	50	16	3817	0.95425	344.75	8	2	2	1
django__django-15382	MURAL	4000	50	26	3908	0.977	141.03846153846155	2	8	8	1
django__django-15467	MURAL	4000	50	25	3987	0.99675	104.6	2	0	2	0
django__django-15499	MURAL	4000	50	30	3970	0.9925	82.46666666666667	1	0	1	0
django__django-15503	MURAL	4000	50	25	3891	0.97275	95.12	2	12	16	0
django__django-15525	MURAL	4000	50	15	3725	0.93125	255.2	4	0	2	0
django__django-15554	MURAL	4000	50	21	3777	0.94425	144.14285714285714	3	1	19	0
django__django-15561	MURAL	4000	50	20	3906	0.9765	370.2	6	0	18	0
django__django-15563	MURAL	4000	50	16	3864	0.966	270.5	6	0	8	0
django__django-15569	MURAL	4000	50	27	3883	0.97075	115.62962962962963	3	0	1	0
django__django-15572	MURAL	4000	50	23	3823	0.95575	148.04347826086956	3	4	4	1
django__django-15629	MURAL	4000	50	25	3717	0.92925	91.24	2	0	14	0
django__django-15695	MURAL	4000	50	24	3996	0.999	109.41666666666667	2	1	1	1
django__django-15731	MURAL	4000	50	25	3796	0.949	137.44	5	3	4	0
django__django-15732	MURAL	4000	50	19	3953	0.98825	173.0	5	2	9	0
